City,Zip_code,School_District
Auburn,98002,Auburn
Auburn,98092,Auburn
Baring,98224,Skykomish
Bellevue,98004,Bellevue
Bellevue,98005,Bellevue
Bellevue,98006,Bellevue
Bellevue,98007,Bellevue
Bellevue,98008,Bellevue
Black Diamond,98010,Enumclaw
Bothell,98011,Northshore
Bryn Mawr-Skyway,98178,Renton
Burien,98148,Highline
Burien,98166,Highline
Carnation,98014,Riveview
Cottage Lake,98077,Northshore
Covington,98042,Kent
Des Moines,98198,Federal Way
Duvall,98019,Riveview
East Hill-Meridian,98031,Kent
Enumclaw,98022,Enumclaw
Fairwood,98058,Kent
Fall City,98024,Snoqualmie Valley
Federal Way,98003,Federal Way
Federal Way,98023,Federal Way
Issaquah,98027,Issaquah
Issaquah,98029,Issaquah
Kenmore,98028,Northshore
Kent,98032,Kent
Kent,98030,Kent
Kirkland,98033,Lake Washington
Kirkland,98034,Lake Washington
Lakeland North,98001,Federal Way
Maple Valley,98038,Tahoma
Medina,98039,Bellevue
Mercer Island,98040,Mercer Island
North Bend,98045,Snoqualmie Valley
Pacific,98047,Auburn
Preston,98050,Issaquah
Ravensdale,98051,Tahoma
Redmond,98052,Lake Washington
Renton,98055,Renton
Renton,98056,Renton
Renton,98057,Renton
Renton,98059,Renton
Sammamish,98074,Lake Washington
Sammamish,98075,Lake Washington
SeaTac,98188,Highline
Seattle,98199,Seattle
Seattle,98174,Seattle
Seattle,98154,Seattle
Seattle,98158,Seattle
Seattle,98164,Seattle
Seattle,98101,Seattle
Seattle,98102,Seattle
Seattle,98103,Seattle
Seattle,98104,Seattle
Seattle,98105,Seattle
Seattle,98106,Seattle
Seattle,98107,Seattle
Seattle,98108,Seattle
Seattle,98109,Seattle
Seattle,98112,Seattle
Seattle,98115,Seattle
Seattle,98116,Seattle
Seattle,98117,Seattle
Seattle,98118,Seattle
Seattle,98119,Seattle
Seattle,98121,Seattle
Seattle,98122,Seattle
Seattle,98125,Seattle
Seattle,98126,Seattle
Seattle,98133,Seattle
Seattle,98134,Seattle
Seattle,98136,Seattle
Seattle,98144,Seattle
Shoreline,98155,Shoreline
Shoreline,98177,Shoreline
Skykomish,98288,Skykomish
Snoqualmie,98065,Snoqualmie Valley
Tukwila,98168,Tukwila
Union Hill-Novelty Hill,98053,Lake Washington
Univ Of Washington,98195,Seattle
Vashon,98070,Vashon Island
White Center,98146,Highline
Woodinville,98072,Northshore
